epoch,train_loss,train_acc,test_loss,test_acc
1,1.7511,0.3706,1.6952,0.3568
2,1.2564,0.5585,1.2719,0.5330
3,1.0567,0.6269,1.2006,0.5892
4,0.9811,0.6665,1.3234,0.5341
5,0.9061,0.6860,1.2674,0.5738
6,0.7711,0.7342,1.0837,0.6355
7,0.7498,0.7364,1.1305,0.6300
8,0.7208,0.7442,1.0970,0.6300
9,0.6826,0.7572,1.1990,0.6256
10,0.6663,0.7685,1.0025,0.6575
11,0.5824,0.7968,1.1268,0.6487
12,0.5819,0.7965,1.0104,0.6740
13,0.5655,0.8003,1.0499,0.6652
14,0.5534,0.8108,1.0269,0.6718
15,0.5400,0.8113,0.9961,0.6674
16,0.5064,0.8196,1.0130,0.6773
17,0.4973,0.8311,1.0286,0.6861
18,0.4900,0.8284,1.0684,0.6663
19,0.4877,0.8306,1.0345,0.6619
20,0.4815,0.8389,1.0298,0.6674
